hour,borough,incident_count,response_time_min
0,BRONX,12854,12.64
0,BROOKLYN,15670,14.35
0,MANHATTAN,13343,21.48
0,QUEENS,11284,13.75
0,RICHMOND / STATEN ISLAND,2041,12.35
0,UNKNOWN,0,
1,BRONX,11392,13.15
1,BROOKLYN,13463,10.71
1,MANHATTAN,11643,12.91
1,QUEENS,9584,9.6
1,RICHMOND / STATEN ISLAND,1889,8.57
2,BRONX,9648,14.37
2,BROOKLYN,11757,10.84
2,MANHATTAN,10200,12.69
2,QUEENS,8265,9.63
2,RICHMOND / STATEN ISLAND,1625,8.75
3,BRONX,8638,16.93
3,BROOKLYN,10464,10.71
3,MANHATTAN,8945,12.1
3,QUEENS,7394,10.16
3,RICHMOND / STATEN ISLAND,1480,8.55
4,BRONX,8023,18.21
4,BROOKLYN,9636,10.42
4,MANHATTAN,7777,10.86
4,QUEENS,7173,10.89
4,RICHMOND / STATEN ISLAND,1321,8.13
5,BRONX,7604,20.26
5,BROOKLYN,9237,10.17
5,MANHATTAN,7318,9.62
5,QUEENS,6972,10.93
5,RICHMOND / STATEN ISLAND,1375,8.54
6,BRONX,8525,21.41
6,BROOKLYN,10245,9.92
6,MANHATTAN,8034,9.99
6,QUEENS,7989,11.55
6,RICHMOND / STATEN ISLAND,1648,8.98
7,BRONX,10567,19.21
7,BROOKLYN,12834,10.56
7,MANHATTAN,10423,10.6
7,QUEENS,9568,11.94
7,RICHMOND / STATEN ISLAND,2053,9.03
8,BRONX,13574,18.78
8,BROOKLYN,16292,10.52
8,MANHATTAN,13647,11.31
8,QUEENS,12075,12.45
8,RICHMOND / STATEN ISLAND,2732,8.6
9,BRONX,17256,17.95
9,BROOKLYN,19485,10.6
9,MANHATTAN,16618,12.62
9,QUEENS,14320,11.07
9,RICHMOND / STATEN ISLAND,3277,8.76
10,BRONX,18311,18.31
10,BROOKLYN,21442,10.09
10,MANHATTAN,17672,13.35
10,QUEENS,15572,10.81
10,RICHMOND / STATEN ISLAND,3410,8.88
11,BRONX,18818,17.86
11,BROOKLYN,22019,10.89
11,MANHATTAN,18386,15.6
11,QUEENS,16136,11.14
11,RICHMOND / STATEN ISLAND,3701,9.34
12,BRONX,18600,20.19
12,BROOKLYN,22704,12.01
12,MANHATTAN,19078,17.76
12,QUEENS,16523,11.71
12,RICHMOND / STATEN ISLAND,3791,9.89
13,BRONX,18666,20.74
13,BROOKLYN,22737,12.9
13,MANHATTAN,19246,19.75
13,QUEENS,16783,12.41
13,RICHMOND / STATEN ISLAND,3742,10.63
14,BRONX,18679,22.28
14,BROOKLYN,22390,14.68
14,MANHATTAN,19085,21.66
14,QUEENS,16884,13.56
14,RICHMOND / STATEN ISLAND,3744,10.75
15,BRONX,18579,23.63
15,BROOKLYN,22369,16.34
15,MANHATTAN,19043,23.8
15,QUEENS,16816,14.36
15,RICHMOND / STATEN ISLAND,3733,11.04
15,UNKNOWN,1,3.2
16,BRONX,18175,25.32
16,BROOKLYN,21872,17.52
16,MANHATTAN,18970,23.76
16,QUEENS,16545,15.03
16,RICHMOND / STATEN ISLAND,3604,11.06
17,BRONX,17800,27.43
17,BROOKLYN,21627,18.03
17,MANHATTAN,18428,23.62
17,QUEENS,16258,16.61
17,RICHMOND / STATEN ISLAND,3651,12.09
18,BRONX,17838,25.92
18,BROOKLYN,21528,16.48
18,MANHATTAN,17789,22.35
18,QUEENS,16070,17.19
18,RICHMOND / STATEN ISLAND,3579,11.94
19,BRONX,17583,20.03
19,BROOKLYN,21314,12.98
19,MANHATTAN,17711,17.09
19,QUEENS,16208,14.0
19,RICHMOND / STATEN ISLAND,3439,10.73
20,BRONX,17489,16.04
20,BROOKLYN,20844,11.43
20,MANHATTAN,17122,14.58
20,QUEENS,15925,12.0
20,RICHMOND / STATEN ISLAND,3216,9.2
21,BRONX,16676,13.41
21,BROOKLYN,20379,10.32
21,MANHATTAN,16722,13.47
21,QUEENS,15161,10.89
21,RICHMOND / STATEN ISLAND,3036,8.68
22,BRONX,15426,12.17
22,BROOKLYN,19361,10.55
22,MANHATTAN,15536,13.27
22,QUEENS,13678,10.33
22,RICHMOND / STATEN ISLAND,2735,8.63
23,BRONX,14125,11.76
23,BROOKLYN,16619,10.94
23,MANHATTAN,13932,13.64
23,QUEENS,12246,9.78
23,RICHMOND / STATEN ISLAND,2322,8.36
