month,borough,incident_count,avg_response_min
1,BRONX,30297,24.79
1,BROOKLYN,36726,13.62
1,MANHATTAN,29731,15.64
1,QUEENS,27045,12.32
1,RICHMOND / STATEN ISLAND,5751,10.14
2,BRONX,26443,20.76
2,BROOKLYN,31944,13.07
2,MANHATTAN,26211,16.52
2,QUEENS,23494,12.45
2,RICHMOND / STATEN ISLAND,5020,9.43
3,BRONX,29841,13.97
3,BROOKLYN,35455,11.49
3,MANHATTAN,29216,14.7
3,QUEENS,26042,11.45
3,RICHMOND / STATEN ISLAND,5618,9.45
3,UNKNOWN,1,3.2
4,BRONX,29553,13.98
4,BROOKLYN,35098,11.91
4,MANHATTAN,29445,16.01
4,QUEENS,25454,11.16
4,RICHMOND / STATEN ISLAND,5637,9.45
5,BRONX,30455,16.41
5,BROOKLYN,36555,12.42
5,MANHATTAN,30499,16.75
5,QUEENS,27006,12.28
5,RICHMOND / STATEN ISLAND,5703,9.83
6,BRONX,29731,23.55
6,BROOKLYN,36578,13.37
6,MANHATTAN,30390,19.29
6,QUEENS,27060,15.01
6,RICHMOND / STATEN ISLAND,5896,11.25
7,BRONX,30958,20.47
7,BROOKLYN,37409,12.52
7,MANHATTAN,31122,18.29
7,QUEENS,27560,13.79
7,RICHMOND / STATEN ISLAND,5866,10.84
8,BRONX,29722,21.0
8,BROOKLYN,35989,12.42
8,MANHATTAN,29879,16.19
8,QUEENS,26333,14.65
8,RICHMOND / STATEN ISLAND,5362,10.63
8,UNKNOWN,0,
9,BRONX,28303,19.95
9,BROOKLYN,34134,13.42
9,MANHATTAN,29318,17.27
9,QUEENS,25372,12.63
9,RICHMOND / STATEN ISLAND,5165,8.96
10,BRONX,30490,16.6
10,BROOKLYN,36304,13.08
10,MANHATTAN,31160,17.51
10,QUEENS,27077,11.75
10,RICHMOND / STATEN ISLAND,5702,9.23
11,BRONX,28618,15.37
11,BROOKLYN,34315,11.57
11,MANHATTAN,29207,14.72
11,QUEENS,25249,10.31
11,RICHMOND / STATEN ISLAND,5413,8.93
12,BRONX,30435,21.67
12,BROOKLYN,35781,12.36
12,MANHATTAN,30490,17.02
12,QUEENS,27737,11.56
12,RICHMOND / STATEN ISLAND,6011,10.01
